,0
280,73.63284395350179
281,73.63848218727016
282,73.64411792753204
283,73.64975117428742
284,73.6553819275363
285,73.66101018727869
286,73.66663595351459
287,73.67225922624398
288,73.67788000546689
289,73.68349829118331
290,73.68911408339324
291,73.69472738209666
292,73.70033818729358
293,73.70594649898402
294,73.71155231716797
295,73.71715564184542
296,73.72275647301637
297,73.72835481068084
298,73.73395065483881
299,73.73954400549027
300,73.74513486263525
301,73.75072322627373
302,73.75630909640573
303,73.76189247303122
304,73.76747335615023
305,73.77305174576274
306,73.77862764186875
307,73.78420104446828
308,73.7897719535613
309,73.79534036914784
310,73.80090629122788
311,73.80646971980141
312,73.81203065486847
313,73.81758909642902
314,73.82314504448308
315,73.82869849903065
316,73.83424946007172
317,73.8397979276063
318,73.84534390163438
319,73.85088738215597
