,x_dot,body_slip,steered_angle,yaw_rate,ride_height,x_double_dot,y_double_dot,yaw_acceleration,roll,pitch
167,5.0,-0.05399999999999999,0.2,0,0.08237427734001491,-1.2195537472959845,-1.3591626062695994,-24.351285165441052,0.012516308299552498,0.0030011855152128
168,5.0,-0.036000000000000004,-0.2,0,0.08386882462403555,-1.5147592653451685,-9.872126096421624,9.032120988165328,0.015541960486083861,0.021756023159385764
169,5.0,-0.036000000000000004,-0.18000000000000002,0,0.08332764200889745,-1.407863955996866,-9.915483024152806,9.192131008279173,0.014445305647043721,0.021850933612121946
170,5.0,-0.036000000000000004,-0.16,0,0.0827670489300592,-1.2971346588895625,-9.948157318294495,9.317326069053856,0.013309293280239144,0.021922297303664122
171,5.0,-0.036000000000000004,-0.14,0,0.0821843325350371,-1.182035526792871,-9.964136451338916,9.38763163186091,0.012128427057438327,0.021956870522439036
172,5.0,-0.036000000000000004,-0.12000000000000001,0,0.08157631245666305,-1.061938368181836,-9.953706053964165,9.370668967970182,0.01089626346157188,0.021933256627340483
173,5.0,-0.036000000000000004,-0.1,0,0.08093967472602054,-0.9361886022872514,-9.901030855983668,9.213851934445259,0.009606088220598554,0.021816578583160107
174,5.0,-0.036000000000000004,-0.08000000000000002,0,0.08027209091097676,-0.8043263132393759,-9.78028149296141,8.831961824412282,0.008253183613095549,0.021549948955478543
175,5.0,-0.036000000000000004,-0.06,0,0.07957519905245089,-0.6666750496628027,-9.550048952638551,8.089871551206878,0.0068408680811391405,0.021042168088849542
176,5.0,-0.036000000000000004,-0.04000000000000001,0,0.07886140465136995,-0.5256851671715431,-9.14739962915036,6.786096766142584,0.0053942769480262364,0.0201546284021694
177,5.0,-0.036000000000000004,-0.020000000000000018,0,0.07816652167968745,-0.388430702336387,-8.488015740764634,4.660417789192162,0.003985981150763878,0.018701615495939097
178,5.0,-0.036000000000000004,0.0,0,0.07756534083750453,-0.2696844412743662,-7.487997986904867,1.4770730919893833,0.0027675508953627554,0.016498315169157545
179,5.0,-0.036000000000000004,0.01999999999999999,0,0.07717234507839772,-0.19205925142680327,-6.124542657647206,-2.7714421218326675,0.001971038320960843,0.01349446477816133
180,5.0,-0.036000000000000004,0.03999999999999998,0,0.0770984789143859,-0.1774690812484767,-4.516584631400565,-7.634575428835022,0.0018213803872491508,0.00995205036055927
